Bid ID,Client,Sector,Budget,Score (%),Outcome,Response Time (hrs),Compliance %,Doc Pages,Gaps Found,Bid Manager,Submission Date,Budget_M,Submission_Month,Submission_Quarter
BID-0035,PEMRA,Energy,PKR 110.5M,68,Loss,103,67,288,3,Nadia Ahmed,2025-09-03,110.5,9,3
BID-0036,NBP,Finance,PKR 195.8M,64,Win,41,83,136,3,Bilal Sheikh,2025-08-25,195.8,8,3
BID-0037,OGDCL,Telecom,PKR 464.0M,86,Win,46,85,142,3,Kamran Ali,2025-04-14,464.0,4,2
BID-0038,NEPRA,Energy,PKR 363.6M,77,Loss,100,70,379,1,Faiza Iqbal,2025-01-07,363.6,1,1
BID-0039,WAPDA,Education,PKR 33.6M,54,Loss,145,96,283,3,Nadia Ahmed,2025-10-10,33.6,10,4
BID-0040,OGDCL,Education,PKR 392.9M,90,Loss,111,84,147,4,Tariq Mehmood,2025-01-01,392.9,1,1
BID-0041,NLC,IT Services,PKR 415.7M,74,Loss,40,70,227,4,Asif Khan,2025-08-07,415.7,8,3
BID-0042,Jazz,Healthcare,PKR 377.7M,60,Loss,66,66,366,1,Hira Noor,2025-08-18,377.7,8,3
BID-0043,PIA,Telecom,PKR 401.8M,57,Loss,120,71,394,3,Tariq Mehmood,2025-06-21,401.8,6,2
BID-0044,OGDCL,IT Services,PKR 414.3M,58,Win,103,70,80,0,Bilal Sheikh,2025-03-28,414.3,3,1
BID-0045,NEPRA,Healthcare,PKR 101.3M,87,Loss,25,66,274,2,Asif Khan,2025-02-10,101.3,2,1
BID-0046,NESPAK,Healthcare,PKR 125.5M,45,Loss,166,62,432,4,Tariq Mehmood,2025-05-03,125.5,5,2
BID-0047,NLC,Logistics,PKR 320.5M,74,Win,150,74,64,6,Zara Hussain,2025-11-27,320.5,11,4
BID-0048,PIA,Education,PKR 454.9M,76,Win,20,57,331,3,Faiza Iqbal,2025-10-25,454.9,10,4
BID-0049,OGDCL,Finance,PKR 164.9M,69,Win,77,70,439,2,Asif Khan,2025-06-27,164.9,6,2
BID-0050,PEMRA,Construction,PKR 298.3M,55,Win,143,84,98,4,Zara Hussain,2025-03-04,298.3,3,1
BID-0051,PSO,Finance,PKR 344.7M,75,Loss,34,99,378,2,Tariq Mehmood,2025-06-14,344.7,6,2
BID-0052,BISP,Construction,PKR 231.5M,56,Loss,83,77,349,4,Sara Malik,2025-07-06,231.5,7,3
BID-0053,WAPDA,Energy,PKR 359.8M,67,Win,44,82,78,2,Usman Raza,2025-07-28,359.8,7,3
BID-0054,PEMRA,Education,PKR 450.8M,73,Loss,43,94,434,6,Sara Malik,2025-08-15,450.8,8,3
BID-0055,WAPDA,Healthcare,PKR 315.8M,92,Loss,31,59,103,2,Faiza Iqbal,2025-02-17,315.8,2,1
BID-0056,PSO,Telecom,PKR 274.5M,81,Win,37,74,221,0,Asif Khan,2025-08-12,274.5,8,3
BID-0057,PAF,Construction,PKR 225.0M,78,Win,34,94,290,5,Asif Khan,2025-01-03,225.0,1,1
BID-0058,NEPRA,Finance,PKR 293.0M,65,Win,46,98,385,3,Faiza Iqbal,2025-06-24,293.0,6,2
BID-0059,BISP,Healthcare,PKR 184.1M,49,Loss,91,55,99,2,Zara Hussain,2025-04-09,184.1,4,2
BID-0060,PAF,Construction,PKR 201.8M,65,Win,79,84,119,5,Usman Raza,2025-04-26,201.8,4,2
BID-0061,CDA,Construction,PKR 270.6M,40,Loss,164,75,289,4,Tariq Mehmood,2025-09-27,270.6,9,3
BID-0062,BISP,Logistics,PKR 42.6M,64,Loss,112,74,155,4,Bilal Sheikh,2025-09-10,42.6,9,3
BID-0063,PAF,Construction,PKR 122.2M,62,Win,72,60,260,7,Sara Malik,2025-11-13,122.2,11,4
BID-0064,FWO,Telecom,PKR 276.0M,91,Win,27,76,324,2,Sara Malik,2025-04-05,276.0,4,2
BID-0065,SBP,Education,PKR 221.4M,45,Loss,98,72,448,2,Hira Noor,2025-09-30,221.4,9,3
BID-0066,CDA,Telecom,PKR 173.1M,75,Loss,46,62,158,5,Usman Raza,2025-01-24,173.1,1,1
BID-0067,FWO,IT Services,PKR 368.0M,65,Win,69,93,309,4,Bilal Sheikh,2025-04-26,368.0,4,2
BID-0068,NESPAK,Healthcare,PKR 349.9M,49,Win,150,86,342,3,Sara Malik,2025-05-31,349.9,5,2
BID-0069,WAPDA,Education,PKR 91.7M,67,Win,112,87,129,2,Bilal Sheikh,2025-12-04,91.7,12,4
BID-0070,ERRA,Logistics,PKR 440.5M,54,Loss,43,70,355,4,Tariq Mehmood,2025-02-19,440.5,2,1
BID-0071,NDMA,Education,PKR 252.8M,60,Loss,79,66,326,4,Asif Khan,2025-07-25,252.8,7,3
BID-0072,NBP,Education,PKR 373.3M,71,Loss,141,92,211,5,Bilal Sheikh,2025-12-01,373.3,12,4
BID-0073,WAPDA,Finance,PKR 290.8M,66,Loss,150,88,203,1,Sara Malik,2025-03-20,290.8,3,1
BID-0074,PIMS,Education,PKR 498.9M,44,Loss,167,68,345,2,Zara Hussain,2025-03-11,498.9,3,1
BID-0075,PIMS,Logistics,PKR 378.7M,72,Win,65,90,393,1,Usman Raza,2025-01-27,378.7,1,1
BID-0076,FWO,Telecom,PKR 356.4M,83,Win,34,87,217,4,Faiza Iqbal,2025-09-28,356.4,9,3
BID-0077,HEC,Education,PKR 391.5M,92,Win,36,77,86,1,Nadia Ahmed,2025-02-19,391.5,2,1
BID-0078,PIA,Energy,PKR 80.1M,74,Win,145,99,60,3,Kamran Ali,2025-10-19,80.1,10,4
BID-0079,SBP,Healthcare,PKR 110.2M,80,Win,103,56,113,1,Kamran Ali,2025-09-04,110.2,9,3
BID-0080,CDA,Education,PKR 359.9M,83,Loss,28,95,181,2,Nadia Ahmed,2025-09-21,359.9,9,3
BID-0081,SBP,Healthcare,PKR 252.1M,65,Win,82,75,65,5,Bilal Sheikh,2025-03-20,252.1,3,1
BID-0082,CDA,Energy,PKR 379.8M,57,Loss,136,56,242,4,Usman Raza,2025-07-09,379.8,7,3
BID-0083,WAPDA,Energy,PKR 60.4M,59,Loss,149,81,443,3,Bilal Sheikh,2025-02-16,60.4,2,1
BID-0084,NESPAK,Healthcare,PKR 272.9M,45,Win,107,63,437,3,Faiza Iqbal,2025-12-27,272.9,12,4
BID-0085,NLC,Construction,PKR 195.6M,53,Loss,91,55,393,5,Usman Raza,2025-12-20,195.6,12,4
BID-0086,FWO,IT Services,PKR 233.9M,60,Win,158,65,135,3,Nadia Ahmed,2025-12-18,233.9,12,4
BID-0087,PSO,Finance,PKR 305.9M,47,Loss,83,57,443,2,Bilal Sheikh,2025-07-08,305.9,7,3
BID-0088,HEC,Construction,PKR 256.1M,66,Loss,91,77,371,1,Hira Noor,2025-09-13,256.1,9,3
BID-0089,PIMS,Construction,PKR 274.5M,90,Win,40,80,249,2,Sara Malik,2025-08-10,274.5,8,3
BID-0090,NESPAK,Telecom,PKR 248.3M,62,Loss,37,58,420,1,Zara Hussain,2025-08-29,248.3,8,3
BID-0091,WAPDA,Finance,PKR 210.4M,64,Win,83,72,192,2,Asif Khan,2025-09-26,210.4,9,3
BID-0092,PIMS,Finance,PKR 388.2M,62,Loss,101,60,249,1,Zara Hussain,2025-01-01,388.2,1,1
BID-0093,FWO,Construction,PKR 16.0M,63,Win,129,89,299,3,Faiza Iqbal,2025-02-03,16.0,2,1
BID-0094,PIMS,Education,PKR 303.2M,58,Loss,114,76,149,3,Bilal Sheikh,2025-03-20,303.2,3,1
BID-0095,HEC,Telecom,PKR 287.1M,36,Loss,51,97,423,6,Tariq Mehmood,2025-08-24,287.1,8,3
BID-0096,BISP,Telecom,PKR 360.9M,82,Win,30,69,365,5,Usman Raza,2025-11-30,360.9,11,4
BID-0097,PEMRA,Energy,PKR 303.5M,55,Loss,64,76,429,6,Bilal Sheikh,2025-12-15,303.5,12,4
BID-0098,PIMS,Logistics,PKR 415.1M,83,Win,52,91,211,1,Usman Raza,2025-04-08,415.1,4,2
BID-0099,FWO,Finance,PKR 479.9M,74,Win,121,96,135,2,Asif Khan,2025-03-23,479.9,3,1
BID-0100,HEC,Construction,PKR 177.8M,51,Loss,155,66,246,4,Hira Noor,2025-07-11,177.8,7,3
BID-0101,PEMRA,Energy,PKR 121.4M,65,Loss,30,96,234,2,Zara Hussain,2025-09-10,121.4,9,3
BID-0102,SBP,Healthcare,PKR 217.6M,48,Loss,107,92,99,1,Sara Malik,2025-02-07,217.6,2,1
BID-0103,CDA,IT Services,PKR 151.1M,65,Win,60,72,73,4,Asif Khan,2025-01-14,151.1,1,1
BID-0104,BISP,Logistics,PKR 311.3M,55,Loss,164,99,358,4,Asif Khan,2025-12-13,311.3,12,4
BID-0105,BISP,Logistics,PKR 456.8M,66,Loss,95,89,330,1,Zara Hussain,2025-11-06,456.8,11,4
BID-0106,PIA,Logistics,PKR 78.2M,66,Loss,140,84,257,4,Asif Khan,2025-07-28,78.2,7,3
BID-0107,PAF,Telecom,PKR 59.4M,72,Win,65,78,213,3,Tariq Mehmood,2025-12-23,59.4,12,4
BID-0108,NDMA,Healthcare,PKR 135.4M,64,Win,99,96,136,1,Tariq Mehmood,2025-03-30,135.4,3,1
BID-0109,SBP,Logistics,PKR 365.8M,56,Loss,73,84,113,2,Kamran Ali,2025-02-25,365.8,2,1
BID-0110,NBP,Healthcare,PKR 300.6M,72,Loss,105,68,367,1,Kamran Ali,2025-04-04,300.6,4,2
BID-0111,PTCL,Education,PKR 60.1M,52,Win,111,60,279,2,Tariq Mehmood,2025-04-03,60.1,4,2
BID-0112,OGDCL,Logistics,PKR 460.2M,50,Loss,167,57,392,2,Nadia Ahmed,2025-12-06,460.2,12,4
BID-0113,HEC,IT Services,PKR 397.1M,67,Loss,116,70,50,3,Hira Noor,2025-03-26,397.1,3,1
BID-0114,SBP,Healthcare,PKR 21.3M,83,Win,21,61,225,4,Usman Raza,2025-09-02,21.3,9,3
BID-0115,PAF,Healthcare,PKR 329.2M,46,Loss,52,68,207,4,Hira Noor,2025-01-22,329.2,1,1
BID-0116,BISP,IT Services,PKR 387.9M,44,Loss,96,63,446,0,Faiza Iqbal,2025-10-18,387.9,10,4
BID-0117,ERRA,Logistics,PKR 193.5M,66,Loss,135,69,36,3,Asif Khan,2025-09-29,193.5,9,3
BID-0118,OGDCL,IT Services,PKR 43.8M,67,Win,169,75,99,0,Sara Malik,2025-11-02,43.8,11,4
BID-0119,PAF,Healthcare,PKR 47.9M,69,Loss,122,89,156,3,Asif Khan,2025-05-02,47.9,5,2
BID-0120,SBP,IT Services,PKR 61.1M,59,Loss,122,56,428,1,Hira Noor,2025-05-08,61.1,5,2
BID-0121,NDMA,Healthcare,PKR 421.8M,60,Win,109,81,189,4,Tariq Mehmood,2025-04-23,421.8,4,2
BID-0122,NLC,Healthcare,PKR 456.2M,53,Loss,141,56,277,5,Zara Hussain,2025-09-30,456.2,9,3
BID-0123,PIA,Education,PKR 70.2M,81,Win,162,89,232,1,Faiza Iqbal,2025-12-02,70.2,12,4
BID-0124,PAF,Construction,PKR 125.6M,52,Loss,125,72,177,3,Tariq Mehmood,2025-05-10,125.6,5,2
BID-0125,Jazz,Healthcare,PKR 91.1M,70,Loss,138,68,172,3,Hira Noor,2025-05-12,91.1,5,2
BID-0126,NESPAK,Logistics,PKR 101.3M,53,Win,68,74,228,3,Zara Hussain,2025-03-26,101.3,3,1
BID-0127,NESPAK,Energy,PKR 420.4M,55,Loss,123,72,434,2,Sara Malik,2025-12-16,420.4,12,4
BID-0128,PTCL,Telecom,PKR 172.8M,69,Win,80,64,183,3,Hira Noor,2025-03-22,172.8,3,1
BID-0129,ERRA,Finance,PKR 162.6M,55,Loss,142,79,405,3,Usman Raza,2025-11-21,162.6,11,4
BID-0130,SBP,Construction,PKR 121.4M,70,Loss,153,56,413,4,Bilal Sheikh,2025-03-10,121.4,3,1
BID-0131,FWO,Construction,PKR 307.9M,65,Loss,28,79,171,3,Zara Hussain,2025-05-28,307.9,5,2
BID-0132,FWO,Construction,PKR 195.9M,88,Win,25,87,342,1,Hira Noor,2025-01-16,195.9,1,1
BID-0133,PTCL,Education,PKR 374.7M,88,Win,92,90,194,2,Tariq Mehmood,2025-11-03,374.7,11,4
BID-0134,PAF,Healthcare,PKR 110.7M,67,Loss,122,85,343,4,Usman Raza,2025-04-15,110.7,4,2
BID-0135,CDA,Education,PKR 396.0M,81,Loss,60,68,50,1,Nadia Ahmed,2025-06-14,396.0,6,2
BID-0136,PIMS,Healthcare,PKR 305.8M,60,Loss,133,55,111,4,Zara Hussain,2025-07-20,305.8,7,3
BID-0137,SBP,Logistics,PKR 66.0M,73,Win,27,70,98,2,Usman Raza,2025-07-16,66.0,7,3
BID-0138,Jazz,Education,PKR 213.1M,56,Win,91,57,160,1,Tariq Mehmood,2025-07-04,213.1,7,3
BID-0139,WAPDA,Education,PKR 433.1M,51,Win,111,89,116,5,Hira Noor,2025-11-18,433.1,11,4
BID-0140,CDA,Telecom,PKR 462.3M,55,Win,81,95,247,6,Asif Khan,2025-09-22,462.3,9,3
BID-0141,HEC,Energy,PKR 238.2M,52,Win,103,60,334,1,Sara Malik,2025-12-29,238.2,12,4
BID-0142,FWO,Education,PKR 245.6M,54,Loss,81,79,432,7,Asif Khan,2025-04-10,245.6,4,2
BID-0143,NDMA,Telecom,PKR 460.0M,60,Loss,130,67,400,4,Bilal Sheikh,2025-12-08,460.0,12,4
BID-0144,PIA,IT Services,PKR 297.7M,50,Loss,146,88,374,3,Usman Raza,2025-11-16,297.7,11,4
BID-0145,NESPAK,Energy,PKR 26.1M,69,Win,26,62,370,3,Bilal Sheikh,2025-08-02,26.1,8,3
BID-0146,BISP,Logistics,PKR 457.2M,51,Win,103,75,413,0,Sara Malik,2025-10-05,457.2,10,4
BID-0147,CDA,Education,PKR 131.6M,55,Win,151,88,425,3,Usman Raza,2025-06-11,131.6,6,2
BID-0148,PTCL,Finance,PKR 293.0M,69,Win,153,58,190,3,Kamran Ali,2025-06-06,293.0,6,2
BID-0149,NBP,Construction,PKR 91.1M,72,Win,77,79,207,1,Tariq Mehmood,2025-09-08,91.1,9,3
BID-0150,NBP,IT Services,PKR 26.6M,83,Win,41,69,146,0,Usman Raza,2025-04-07,26.6,4,2
BID-0151,PTCL,IT Services,PKR 162.6M,57,Loss,146,58,225,2,Tariq Mehmood,2025-01-18,162.6,1,1
BID-0152,NESPAK,Logistics,PKR 392.4M,73,Win,22,99,412,4,Asif Khan,2025-11-23,392.4,11,4
BID-0153,SBP,Telecom,PKR 146.0M,49,Loss,146,66,356,6,Faiza Iqbal,2025-04-07,146.0,4,2
BID-0154,NLC,IT Services,PKR 117.8M,80,Win,60,86,115,3,Zara Hussain,2025-01-01,117.8,1,1
BID-0155,PIMS,Energy,PKR 114.2M,69,Win,125,86,318,3,Faiza Iqbal,2025-08-04,114.2,8,3
BID-0156,NBP,Education,PKR 262.4M,67,Win,33,82,110,2,Hira Noor,2025-05-12,262.4,5,2
BID-0157,HEC,Education,PKR 488.0M,76,Loss,31,67,181,1,Zara Hussain,2025-09-17,488.0,9,3
BID-0158,NBP,Finance,PKR 234.9M,72,Win,106,85,90,0,Zara Hussain,2025-05-05,234.9,5,2
BID-0159,NBP,Logistics,PKR 283.1M,65,Win,31,68,90,2,Nadia Ahmed,2025-03-23,283.1,3,1
BID-0160,NBP,Construction,PKR 431.7M,43,Loss,160,74,383,6,Zara Hussain,2025-10-10,431.7,10,4
BID-0161,NLC,Telecom,PKR 272.2M,81,Win,44,72,57,6,Sara Malik,2025-06-20,272.2,6,2
BID-0162,NLC,Construction,PKR 100.4M,65,Win,64,83,72,3,Faiza Iqbal,2025-02-28,100.4,2,1
BID-0163,HEC,IT Services,PKR 156.8M,68,Loss,141,60,198,3,Asif Khan,2025-02-01,156.8,2,1
BID-0164,FWO,Logistics,PKR 161.9M,56,Loss,166,86,115,2,Tariq Mehmood,2025-06-10,161.9,6,2
BID-0165,FWO,Finance,PKR 204.7M,65,Loss,74,83,206,5,Hira Noor,2025-10-11,204.7,10,4
BID-0166,NDMA,Construction,PKR 219.1M,73,Loss,119,97,46,3,Zara Hussain,2025-04-16,219.1,4,2
BID-0167,NLC,Energy,PKR 401.9M,46,Loss,155,56,127,2,Hira Noor,2025-04-15,401.9,4,2
BID-0168,NESPAK,Education,PKR 181.2M,64,Win,138,77,227,2,Asif Khan,2025-08-16,181.2,8,3
BID-0169,Jazz,IT Services,PKR 239.4M,47,Loss,72,73,127,2,Hira Noor,2025-07-07,239.4,7,3
BID-0170,OGDCL,Finance,PKR 316.2M,62,Win,51,85,94,3,Asif Khan,2025-03-11,316.2,3,1
BID-0171,ERRA,Construction,PKR 195.1M,50,Loss,70,59,359,1,Zara Hussain,2025-11-14,195.1,11,4
BID-0172,NBP,Telecom,PKR 419.9M,74,Loss,63,73,370,6,Asif Khan,2025-10-17,419.9,10,4
BID-0173,Jazz,Energy,PKR 297.9M,77,Loss,101,88,34,4,Zara Hussain,2025-03-28,297.9,3,1
BID-0174,HEC,Energy,PKR 154.1M,60,Loss,165,64,31,6,Nadia Ahmed,2025-12-28,154.1,12,4
BID-0175,PTCL,Construction,PKR 359.9M,50,Loss,169,79,51,2,Nadia Ahmed,2025-02-25,359.9,2,1
BID-0176,NLC,Education,PKR 268.5M,50,Loss,56,56,141,5,Asif Khan,2025-04-23,268.5,4,2
BID-0177,Jazz,Construction,PKR 271.9M,57,Loss,115,65,86,2,Nadia Ahmed,2025-01-13,271.9,1,1
BID-0178,ERRA,IT Services,PKR 245.7M,76,Win,75,85,95,3,Tariq Mehmood,2025-01-18,245.7,1,1
BID-0179,PSO,Construction,PKR 253.5M,51,Win,124,69,359,6,Tariq Mehmood,2025-07-01,253.5,7,3
BID-0180,PSO,Energy,PKR 385.0M,61,Win,78,63,127,6,Nadia Ahmed,2025-04-23,385.0,4,2
BID-0181,FWO,Finance,PKR 60.5M,59,Loss,150,77,173,5,Nadia Ahmed,2025-08-17,60.5,8,3
BID-0182,CDA,Construction,PKR 173.8M,78,Win,54,73,397,4,Kamran Ali,2025-06-20,173.8,6,2
BID-0183,Jazz,Education,PKR 47.0M,46,Loss,112,63,154,3,Kamran Ali,2025-10-22,47.0,10,4
BID-0184,PSO,Logistics,PKR 379.1M,70,Loss,116,89,196,1,Zara Hussain,2025-07-08,379.1,7,3
BID-0185,PIMS,Finance,PKR 143.4M,81,Win,154,75,115,4,Asif Khan,2025-03-20,143.4,3,1
BID-0186,PTCL,Telecom,PKR 449.7M,89,Win,95,63,105,3,Bilal Sheikh,2025-05-26,449.7,5,2
BID-0187,OGDCL,Healthcare,PKR 268.0M,70,Win,68,82,373,4,Bilal Sheikh,2025-07-01,268.0,7,3
BID-0188,NDMA,Construction,PKR 402.4M,56,Loss,113,61,323,2,Nadia Ahmed,2025-10-13,402.4,10,4
BID-0189,PIMS,Education,PKR 489.7M,80,Loss,43,70,88,2,Hira Noor,2025-09-07,489.7,9,3
BID-0190,NDMA,Finance,PKR 421.5M,64,Loss,167,70,167,4,Nadia Ahmed,2025-12-20,421.5,12,4
BID-0191,PTCL,Education,PKR 434.8M,71,Loss,56,87,128,4,Kamran Ali,2025-11-10,434.8,11,4
BID-0192,SBP,Telecom,PKR 209.9M,69,Win,23,58,221,1,Zara Hussain,2025-07-15,209.9,7,3
BID-0193,PTCL,Energy,PKR 280.3M,50,Win,127,58,272,2,Nadia Ahmed,2025-11-19,280.3,11,4
BID-0194,CDA,Education,PKR 134.4M,76,Loss,145,93,348,4,Faiza Iqbal,2025-03-12,134.4,3,1
BID-0195,FWO,Finance,PKR 106.1M,88,Win,39,94,78,2,Hira Noor,2025-09-05,106.1,9,3
BID-0196,WAPDA,Education,PKR 257.7M,76,Win,69,71,61,3,Faiza Iqbal,2025-05-26,257.7,5,2
BID-0197,SBP,Education,PKR 301.6M,51,Win,115,91,420,5,Zara Hussain,2025-04-16,301.6,4,2
BID-0198,NEPRA,Education,PKR 176.2M,59,Loss,124,93,306,2,Zara Hussain,2025-09-20,176.2,9,3
BID-0199,WAPDA,IT Services,PKR 289.0M,59,Win,136,83,49,2,Tariq Mehmood,2025-10-23,289.0,10,4
BID-0200,FWO,IT Services,PKR 444.9M,67,Win,117,90,183,2,Usman Raza,2025-03-11,444.9,3,1
BID-0201,ERRA,Energy,PKR 282.8M,62,Loss,85,92,412,2,Faiza Iqbal,2025-07-12,282.8,7,3
BID-0202,NEPRA,Construction,PKR 363.2M,65,Loss,98,93,97,4,Tariq Mehmood,2025-03-09,363.2,3,1
BID-0203,PIA,Education,PKR 404.6M,71,Win,25,91,395,2,Kamran Ali,2025-11-01,404.6,11,4
BID-0204,PIMS,Telecom,PKR 494.5M,66,Loss,58,89,401,2,Sara Malik,2025-02-21,494.5,2,1
BID-0205,SBP,Construction,PKR 305.6M,63,Loss,134,61,243,3,Hira Noor,2025-12-29,305.6,12,4
BID-0206,PSO,Telecom,PKR 405.4M,74,Loss,144,81,172,2,Sara Malik,2025-10-12,405.4,10,4
BID-0207,PSO,Construction,PKR 481.7M,72,Win,31,82,405,2,Asif Khan,2025-11-30,481.7,11,4
BID-0208,PTCL,Energy,PKR 472.8M,75,Win,150,76,261,2,Kamran Ali,2025-01-09,472.8,1,1
BID-0209,NBP,Education,PKR 79.1M,64,Loss,37,68,242,5,Kamran Ali,2025-09-08,79.1,9,3
BID-0210,NLC,Education,PKR 209.1M,81,Win,59,61,108,4,Sara Malik,2025-11-28,209.1,11,4
BID-0211,FWO,Healthcare,PKR 168.8M,80,Win,40,91,243,4,Faiza Iqbal,2025-10-25,168.8,10,4
BID-0212,PSO,Telecom,PKR 52.6M,70,Win,162,76,145,4,Usman Raza,2025-07-03,52.6,7,3
BID-0213,NESPAK,Construction,PKR 320.3M,59,Loss,118,59,121,4,Faiza Iqbal,2025-06-28,320.3,6,2
BID-0214,HEC,Construction,PKR 370.6M,74,Loss,45,56,299,4,Sara Malik,2025-07-17,370.6,7,3
BID-0215,HEC,Logistics,PKR 425.6M,84,Win,27,81,440,0,Asif Khan,2025-05-08,425.6,5,2
BID-0216,CDA,Logistics,PKR 70.2M,71,Loss,119,75,410,1,Faiza Iqbal,2025-01-20,70.2,1,1
BID-0217,CDA,IT Services,PKR 439.5M,73,Loss,106,92,197,4,Bilal Sheikh,2025-11-24,439.5,11,4
BID-0218,PIMS,Healthcare,PKR 325.0M,80,Win,61,69,87,1,Faiza Iqbal,2025-03-06,325.0,3,1
BID-0219,NDMA,Finance,PKR 354.9M,81,Win,33,75,313,4,Zara Hussain,2025-07-01,354.9,7,3
BID-0220,PSO,Logistics,PKR 456.2M,61,Loss,97,64,55,1,Tariq Mehmood,2025-08-29,456.2,8,3
BID-0221,PSO,Finance,PKR 316.1M,75,Win,21,77,398,2,Hira Noor,2025-01-24,316.1,1,1
BID-0222,PIMS,IT Services,PKR 174.6M,79,Win,138,93,95,2,Faiza Iqbal,2025-03-24,174.6,3,1
BID-0223,PTCL,IT Services,PKR 414.3M,81,Win,56,59,438,1,Usman Raza,2025-11-15,414.3,11,4
BID-0224,FWO,IT Services,PKR 187.9M,53,Win,88,55,277,4,Usman Raza,2025-07-04,187.9,7,3
BID-0225,PTCL,Telecom,PKR 26.8M,76,Loss,60,67,283,7,Faiza Iqbal,2025-11-12,26.8,11,4
BID-0226,ERRA,Telecom,PKR 417.0M,53,Loss,81,75,416,3,Nadia Ahmed,2025-04-09,417.0,4,2
